First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
Amy,Female,3/30/2008,10:54 PM,106249,15.967,FALSE,Sales
Amy,,12/25/1984,10:52 AM,63888,18.115,TRUE,Product
Amy,,5/19/1984,11:47 AM,102839,10.385,TRUE,Distribution
Amy,Female,5/20/2009,6:26 AM,75415,19.132,FALSE,Client Services
Andrea,Female,01-12-12,5:43 AM,120204,9.557,FALSE,Business Development
Andrea,Female,9/14/2003,10:30 PM,115913,12.121,FALSE,Legal
Andrea,Female,10-01-10,11:54 AM,79123,19.422,FALSE,Distribution
Andrea,Female,10/30/1994,11:23 AM,87575,13.346,TRUE,Business Development
Andrea,Female,11/17/2011,2:37 PM,123591,6.5,TRUE,Engineering
Andrea,Female,8/31/1989,11:10 PM,113760,12.866,TRUE,Distribution
Andrea,Female,12-10-01,6:40 AM,37888,13.47,FALSE,Engineering
Andrea,Female,7/22/1999,9:25 AM,149105,13.707,TRUE,Distribution
Andrew,Male,3/29/1985,6:57 PM,43414,7.563,TRUE,Client Services
Andrew,Male,9/28/1990,9:38 AM,137386,8.611,TRUE,Distribution
Angela,Female,11/22/2005,6:29 AM,95570,18.523,TRUE,Engineering
Ann,Female,11-04-84,12:17 PM,90719,6.22,FALSE,Business Development
Ann,Female,9/28/1994,5:44 AM,79796,9.851,FALSE,Distribution
Ann,Female,7/16/2001,9:27 AM,118431,12.772,TRUE,Finance
Ann,Female,10-03-80,1:08 AM,96941,10.048,TRUE,Distribution
Ann,Female,9/28/2001,6:37 AM,71958,5.272,TRUE,Distribution
Ann,Female,9/23/1994,11:15 AM,89443,17.94,TRUE,Sales
Anna,Female,4/15/2008,2:34 PM,117293,2.366,FALSE,Client Services
Anna,,3/13/1985,9:19 AM,45418,10.162,FALSE,Marketing
Anne,Female,7/16/1986,2:08 PM,69134,3.723,TRUE,Engineering
Anne,Female,03-07-00,6:45 AM,44537,18.284,TRUE,Client Services
Anne,Female,10/26/1996,8:09 PM,71930,18.451,TRUE,Product
Anne,Female,11/21/1984,12:30 PM,128305,16.636,FALSE,Marketing
Anne,,4/18/1996,11:57 PM,122762,9.564,FALSE,Distribution
Annie,,9/29/2007,12:11 AM,103495,17.29,TRUE,Business Development
Annie,Female,1/30/1993,2:05 AM,144887,8.276,TRUE,Sales
Annie,Female,12/19/1994,6:19 AM,40119,4.338,TRUE,Human Resources
Annie,Female,06-06-92,10:04 AM,138925,9.801,TRUE,Marketing
Anthony,Male,2/13/2013,1:35 PM,146141,3.645,TRUE,Distribution
Anthony,Male,1/30/2014,9:04 PM,96795,14.837,FALSE,Sales
Anthony,Male,10/16/2011,8:35 AM,112769,11.625,TRUE,Finance
Antonio,Male,10/25/1988,1:50 PM,60866,13.101,TRUE,Business Development
Antonio,Male,06-06-99,10:54 PM,41928,5.478,TRUE,
Antonio,Male,12/28/2003,4:17 AM,137979,5.266,FALSE,Distribution
Antonio,,6/18/1989,9:37 PM,103050,3.05,FALSE,Legal
Arthur,Male,4/13/1998,11:28 AM,89786,14.422,TRUE,Legal
Arthur,Male,01-01-14,7:46 PM,134610,6.147,TRUE,Human Resources
Arthur,Male,12/16/2014,4:56 PM,66819,6.639,TRUE,Marketing
Arthur,Male,12-05-13,8:44 AM,86615,3.412,TRUE,Business Development
Ashley,Female,08-04-02,11:00 AM,58698,6.811,TRUE,Business Development
Ashley,Female,5/25/2006,11:30 AM,112238,6.03,TRUE,Engineering
Ashley,Female,8/15/1997,9:48 PM,142415,1.985,TRUE,Finance
Ashley,Female,11/17/1999,9:18 PM,120675,6.51,FALSE,Human Resources
Ashley,Female,3/31/2006,1:24 PM,142410,11.048,TRUE,Engineering
Barbara,,05-03-03,7:32 PM,99326,16.475,TRUE,Legal
Barbara,,4/26/2001,12:22 AM,94493,13.443,TRUE,Sales
Barbara,Female,3/21/2002,8:02 AM,47322,7.25,TRUE,Sales
Barbara,,12-10-80,11:04 PM,90187,14.764,TRUE,Distribution
Barbara,Female,3/22/2004,8:11 AM,144677,8.696,FALSE,Finance
Barbara,Female,09-02-91,3:41 PM,127297,11.905,TRUE,Product
Barbara,,12/20/1994,10:09 AM,90556,15.749,TRUE,Distribution
Barbara,Female,11-12-11,12:35 AM,85718,13.326,FALSE,Client Services
Barbara,,08-02-02,5:13 AM,43312,8.218,TRUE,Legal
Barbara,Female,11/26/2002,5:32 AM,82884,6.837,TRUE,Business Development
Benjamin,Male,1/26/2005,10:06 PM,79529,7.008,TRUE,Legal
Benjamin,Male,09-11-84,6:37 AM,84810,15.794,FALSE,Marketing
Benjamin,Male,05-05-13,3:28 PM,114356,7.123,FALSE,Client Services
Benjamin,Male,04-12-88,11:32 PM,123409,7.783,FALSE,Product
Betty,Female,06-12-02,3:59 AM,104896,19.55,TRUE,Business Development
Betty,Female,6/28/2005,6:03 PM,51613,12.984,FALSE,Distribution
Betty,Female,11/19/2002,10:40 AM,37005,7.645,TRUE,Marketing
Beverly,Female,09-09-98,8:26 PM,121918,15.835,FALSE,Legal
Beverly,Female,11/30/2005,2:57 AM,107163,3.665,TRUE,Human Resources
Beverly,,05-03-95,5:49 AM,104815,3.38,FALSE,Product
Beverly,Female,10/22/1990,2:45 PM,59070,19.064,TRUE,Engineering
Beverly,Female,04-11-98,2:27 PM,76485,9.212,TRUE,Engineering
Beverly,Female,10/17/1986,12:51 AM,80838,8.115,FALSE,Engineering
Billy,Male,3/13/1995,12:05 PM,120444,7.768,TRUE,Finance
Billy,,3/16/2004,8:21 AM,62913,18.241,TRUE,Marketing
Billy,Male,12-01-06,3:32 PM,144709,10.069,TRUE,Distribution
Billy,Male,04-06-00,3:14 PM,115280,9.153,FALSE,Distribution
Bobby,Male,05-07-07,10:01 AM,54043,3.833,FALSE,Product
Bobby,Male,9/23/1994,1:29 AM,51685,17.445,TRUE,Engineering
Bobby,Male,3/31/1996,5:40 PM,112117,6.338,FALSE,
Bobby,,09-01-95,2:09 PM,108127,15.858,FALSE,Client Services
Bobby,,7/21/2003,3:50 PM,84232,15.704,TRUE,Engineering
Bobby,Male,9/30/2004,10:52 PM,79047,18.784,FALSE,Human Resources
Bobby,Male,06-05-84,7:40 AM,93368,2.88,TRUE,Product
Bobby,Male,8/19/1996,1:16 AM,147842,16.158,TRUE,
Bonnie,Female,07-02-91,1:27 AM,104897,5.118,TRUE,Human Resources
Bonnie,Female,11/13/1988,3:30 PM,115814,4.99,FALSE,Product
Bonnie,Female,12/17/1999,3:12 PM,42153,8.454,TRUE,Business Development
Bonnie,,1/18/2006,6:52 PM,108946,12.211,FALSE,Finance
Bonnie,Female,8/25/2004,2:17 AM,131943,14.249,FALSE,Client Services
Bonnie,Female,12/23/2008,9:26 AM,90427,2.01,TRUE,Client Services
Brandon,Male,12-01-80,1:08 AM,112807,17.492,TRUE,Human Resources
Brandon,,11-03-97,8:17 PM,121333,15.295,FALSE,Business Development
Brandon,Male,3/27/2006,5:54 PM,115711,8.012,TRUE,Finance
Brandon,Male,10/16/2015,2:44 AM,112548,4.664,FALSE,Engineering
Brandon,,5/31/2004,3:36 PM,73587,9.769,TRUE,Human Resources
Brandon,,09-05-92,2:32 AM,144187,11.416,TRUE,Legal
Brandon,Male,10/23/1995,12:04 PM,60263,2.709,FALSE,Sales
Brenda,,7/27/2010,11:07 PM,106115,3.742,TRUE,Product
Brenda,,5/29/1991,6:32 AM,82439,19.062,FALSE,Sales
Brenda,Female,10-06-05,9:33 PM,141521,4.337,FALSE,Client Services
Brenda,Female,4/17/1984,7:12 AM,87715,2.675,FALSE,Product
Brenda,Female,01-03-81,6:01 PM,131131,11.682,FALSE,Client Services
Brenda,Female,1/18/2015,4:39 PM,73749,19.332,FALSE,Business Development
Brian,Male,04-07-07,10:47 PM,93901,17.821,TRUE,Legal
Bruce,Male,11/28/2009,10:47 PM,114796,6.796,FALSE,Finance
Bruce,Male,3/15/2013,11:13 PM,141335,15.427,TRUE,Engineering
Bruce,Male,1/28/2007,11:10 PM,134988,13.926,TRUE,Sales
Bruce,Male,05-07-80,8:00 PM,35802,12.391,TRUE,Sales
Carl,Male,05-03-06,5:55 PM,130276,16.084,TRUE,Finance
Carl,,02-07-14,3:57 AM,125104,12.345,FALSE,Client Services
Carl,,10/26/1991,8:11 AM,100888,12.49,TRUE,Business Development
Carl,Male,3/30/1987,5:59 PM,75598,19.289,FALSE,
Carl,Male,12/14/1984,8:49 PM,63395,11.411,FALSE,Legal
Carl,,8/18/2007,8:01 AM,98295,7.617,TRUE,Legal
Carl,,02-11-82,7:54 AM,49325,2.071,TRUE,Business Development
Carl,Male,07-07-10,1:33 PM,54033,15.528,TRUE,Business Development
Carlos,Male,01-04-95,7:02 AM,146670,10.763,FALSE,Human Resources
Carlos,Male,9/19/2007,1:01 AM,77327,11.58,TRUE,Finance
Carlos,Male,7/28/2010,3:08 PM,50167,2.362,FALSE,Product
Carlos,Male,1/25/1981,10:00 AM,138598,14.737,FALSE,Sales
Carol,Female,3/19/1996,3:39 AM,57783,9.129,FALSE,Finance
Carolyn,Female,04-09-11,5:38 AM,109260,2.65,TRUE,Business Development
Carolyn,Female,11-06-12,3:51 AM,69268,3.031,FALSE,Client Services
Carolyn,Female,3/17/2004,6:38 AM,118037,13.492,FALSE,Finance
Catherine,Female,8/31/2013,7:24 PM,58047,14.858,TRUE,Distribution
Catherine,Female,8/31/1986,6:20 PM,59970,12.801,FALSE,Client Services
Catherine,Female,9/25/1989,1:31 AM,68164,18.393,FALSE,Client Services
Charles,Male,9/14/2004,8:13 PM,107391,1.26,TRUE,Marketing
Charles,Male,10/14/2000,9:40 PM,71749,15.931,FALSE,Legal
Charles,Male,12/16/1999,8:28 PM,104014,7.077,FALSE,Legal
Charles,,03-01-87,1:00 PM,137171,5.574,TRUE,Marketing
Charles,Male,09-03-97,10:04 AM,148291,6.002,FALSE,
Cheryl,Female,9/23/2008,2:57 AM,52080,9.375,FALSE,Legal
Cheryl,Female,09-08-09,10:16 AM,81308,2.196,TRUE,Legal
Cheryl,Female,8/16/1994,8:33 AM,67150,15.85,TRUE,Marketing
Cheryl,Female,12-03-14,9:27 AM,71751,15.918,FALSE,Business Development
Cheryl,Female,7/23/1982,6:28 AM,98841,8.945,TRUE,Client Services
Chris,,1/24/1980,12:13 PM,113590,3.055,FALSE,Sales
Chris,Male,12-12-06,1:57 AM,71642,1.496,FALSE,
Christina,Female,08-06-02,1:19 PM,118780,9.096,TRUE,Engineering
Christina,Female,4/13/2012,2:04 PM,110169,13.892,TRUE,Engineering
Christina,Female,6/23/2002,3:18 PM,35477,18.178,FALSE,Human Resources
Christine,,6/28/2015,1:08 AM,66582,11.308,TRUE,Business Development
Christine,Female,07-03-89,4:01 AM,94345,11.996,FALSE,Finance
Christine,Female,02-01-03,1:11 PM,72613,11.126,FALSE,Legal
Christine,,6/15/1980,6:00 PM,50366,9.862,TRUE,Marketing
Christopher,Male,3/30/2008,10:52 AM,47369,14.822,FALSE,Legal
Christopher,Male,4/22/2000,10:15 AM,37919,11.449,FALSE,
Christopher,Male,12/24/2011,12:22 PM,142178,17.984,TRUE,Sales
Christopher,Male,5/13/1999,10:48 AM,68028,7.869,TRUE,Finance
Christopher,Male,4/23/2014,7:52 AM,82401,7.252,FALSE,Client Services
Clarence,Male,3/26/1996,5:57 AM,93581,6.083,TRUE,Business Development
Clarence,Male,05-02-98,3:16 AM,85700,1.215,FALSE,Sales
Clarence,Male,10-08-96,12:53 PM,142561,8.866,FALSE,Client Services
Clarence,Male,1/13/2005,9:00 AM,116693,13.835,TRUE,Distribution
Clarence,Male,8/20/1992,8:23 PM,124365,8.457,FALSE,Business Development
Clarence,Male,11-03-15,12:11 AM,103684,18.654,TRUE,Engineering
Clarence,Male,8/26/1982,9:47 AM,146589,4.905,TRUE,Business Development
Clarence,Male,08-05-89,6:11 PM,148941,11.517,FALSE,Product
Craig,Male,2/27/2000,7:45 AM,37598,7.757,TRUE,Marketing
Craig,Male,02-08-84,4:45 AM,113506,19.642,FALSE,Marketing
Craig,Male,4/14/1996,9:17 AM,125556,7.996,FALSE,Engineering
Craig,Male,11-01-05,11:31 PM,44857,13.266,FALSE,Finance
Craig,Male,8/21/1995,2:38 AM,123876,4.225,FALSE,Engineering
Cynthia,Female,11/16/1988,6:54 PM,145146,7.482,TRUE,Product
Cynthia,Female,3/21/1994,8:34 AM,142321,1.737,FALSE,Finance
Cynthia,Female,12-03-12,11:03 PM,74287,10.751,FALSE,Sales
Cynthia,Female,9/14/1991,1:08 PM,51633,13.472,TRUE,Business Development
Cynthia,Female,5/23/1980,3:19 AM,78226,2.419,FALSE,Human Resources
Cynthia,Female,6/29/2015,6:38 AM,82408,8.701,TRUE,Marketing
Cynthia,Female,07-05-86,1:24 AM,35381,11.749,FALSE,Finance
Cynthia,Female,07-12-06,8:55 AM,149684,7.864,FALSE,Product
Cynthia,,11/19/1996,10:40 PM,107816,18.751,FALSE,Marketing
Daniel,Male,4/30/2010,3:48 AM,106947,15.866,TRUE,Legal
Daniel,Male,9/15/2007,10:16 PM,123811,7.664,TRUE,Human Resources
Daniel,Male,2/29/2016,4:04 AM,77287,13,TRUE,
David,Male,12-05-09,8:48 AM,92242,15.407,FALSE,Legal
Deborah,Female,11/25/1980,4:33 AM,46953,17.436,FALSE,Client Services
Deborah,,02-03-83,11:38 PM,101457,6.662,FALSE,Engineering
Deborah,Female,11/21/1985,1:40 PM,113129,17.371,FALSE,Client Services
Deborah,Female,4/23/2000,6:55 PM,105573,5.268,TRUE,Product
Deborah,Female,2/26/2009,10:17 AM,118043,7.266,TRUE,Business Development
Deborah,Female,11-11-03,4:53 PM,60003,9.624,FALSE,Client Services
Debra,Female,3/13/1998,11:16 PM,48696,4.75,FALSE,Legal
Debra,Female,2/22/1994,10:25 PM,104250,18.456,TRUE,Business Development
Debra,Female,1/19/2010,8:48 AM,70492,8.895,FALSE,Client Services
Debra,Female,03-12-83,12:19 PM,74911,19.513,FALSE,Marketing
Debra,Female,5/28/2006,6:51 AM,42296,16.922,FALSE,Product
Debra,Female,3/17/2011,1:12 PM,84693,6.976,TRUE,Finance
Denise,Female,11-06-01,12:03 PM,106862,3.699,FALSE,Business Development
Denise,Female,3/20/2009,7:57 AM,115118,5.108,FALSE,Human Resources
Denise,Female,3/18/2001,12:02 AM,36697,11.196,TRUE,Sales
Denise,Female,2/19/1984,6:22 AM,86150,3.997,FALSE,Client Services
Denise,Female,10/19/1992,5:42 AM,137954,4.195,TRUE,Legal
Dennis,Male,4/18/1987,1:35 AM,115163,10.125,FALSE,Legal
Diana,Female,10/23/1981,10:27 AM,132940,19.082,FALSE,Client Services
Diana,Female,01-04-13,7:53 AM,103521,2.784,TRUE,Business Development
Diana,Female,6/13/1994,4:21 PM,41831,4.548,FALSE,Business Development
Diana,Female,1/19/1995,12:37 AM,86883,18.003,TRUE,Product
Diana,Female,11/19/2004,8:47 AM,105066,17.343,TRUE,Business Development
Diane,Female,4/18/1993,3:22 AM,64084,17.018,FALSE,Product
Diane,Female,07-05-82,4:56 PM,124889,15.026,TRUE,Sales
Diane,Female,02-02-88,6:14 PM,49501,13.506,FALSE,Business Development
Diane,Female,10/30/2009,6:56 PM,130577,12.791,FALSE,Marketing
Donald,Male,7/14/1995,7:51 AM,106472,6.499,TRUE,Client Services
Donald,Male,04-06-88,10:00 AM,122920,5.32,FALSE,
Donald,Male,08-01-91,2:25 AM,61999,6.466,FALSE,Product
Donna,Female,7/22/2010,3:48 AM,81014,1.894,FALSE,Product
Donna,Female,11/27/1991,1:59 PM,64088,6.155,TRUE,Legal
Donna,Female,11/26/1982,7:04 AM,82871,17.999,FALSE,Marketing
Doris,Female,8/20/2004,5:51 AM,83072,7.511,FALSE,Finance
Doris,Female,7/29/1992,6:40 PM,85215,7.425,TRUE,Human Resources
Doris,Female,09-08-84,7:03 PM,114360,17.799,TRUE,Business Development
Doris,Female,07-05-93,5:54 PM,141439,3.799,FALSE,Business Development
Dorothy,Female,11-05-13,10:50 PM,140136,3.12,TRUE,Business Development
Dorothy,Female,10-08-08,12:22 AM,82744,19.111,TRUE,Client Services
Douglas,Male,08-06-93,12:42 PM,97308,6.945,TRUE,Marketing
Douglas,Male,09-03-99,4:00 PM,83341,1.015,TRUE,Client Services
Douglas,Male,01-08-02,6:42 PM,41428,14.372,FALSE,Product
Douglas,,02-04-09,2:03 AM,104496,14.771,TRUE,Marketing
Douglas,Male,08-04-07,5:23 AM,132175,2.28,FALSE,Engineering
Earl,Male,01-05-00,5:46 PM,91344,4.035,TRUE,Sales
Earl,Male,02-11-14,9:03 PM,52620,13.773,FALSE,Product
Earl,Male,6/15/2013,3:00 AM,48046,7.737,FALSE,Marketing
Edward,Male,5/27/1985,10:13 PM,110485,7.995,FALSE,Client Services
Edward,Male,08-04-89,6:06 AM,66067,10.957,TRUE,
Edward,Male,8/30/2001,1:24 AM,73105,6.083,TRUE,Engineering
Edward,Male,11/27/1997,1:00 AM,58327,17.095,TRUE,Finance
Elizabeth,Female,10-09-03,5:53 PM,146129,5.687,FALSE,Finance
Elizabeth,Female,11-10-05,4:56 AM,106406,1.782,TRUE,Legal
Elizabeth,,2/16/1981,3:58 AM,52730,12.525,FALSE,Marketing
Elizabeth,Female,2/21/2010,7:02 AM,79145,19.78,FALSE,Finance
Elizabeth,Female,7/27/1998,11:12 AM,137144,10.081,FALSE,Finance
Emily,Female,9/20/2007,11:25 AM,89434,11.295,FALSE,Engineering
Emily,Female,1/13/1988,6:42 AM,36711,19.028,TRUE,Human Resources
Eric,Male,11-12-04,9:16 PM,65168,11.513,FALSE,Distribution
Eric,Male,6/15/1993,3:56 AM,51070,13.806,TRUE,Business Development
Ernest,,1/18/2002,1:51 AM,72145,13.448,TRUE,Finance
Ernest,Male,8/14/2012,11:25 AM,126232,6.191,TRUE,Sales
Ernest,Male,1/28/1990,12:08 AM,81919,15.118,FALSE,Marketing
Ernest,Male,6/30/2001,1:46 PM,61181,16.559,FALSE,Business Development
Ernest,Male,09-06-97,2:02 PM,53335,9.192,FALSE,Product
Ernest,Male,7/20/2013,6:41 AM,142935,13.198,TRUE,Product
Eugene,Male,5/24/1984,10:54 AM,81077,2.117,FALSE,Sales
Evelyn,Female,5/24/1980,11:10 PM,81673,15.364,TRUE,Engineering
Evelyn,Female,09-03-83,1:58 PM,36759,17.269,TRUE,Marketing
Evelyn,Female,9/22/1998,7:55 PM,51525,10.366,FALSE,Finance
Evelyn,Female,02-10-02,4:44 AM,123621,19.767,TRUE,Marketing
Frances,Female,08-08-02,6:51 AM,139852,7.524,TRUE,Business Development
Frances,Female,04-04-99,4:19 PM,90582,4.709,TRUE,Sales
Frances,Female,7/21/2001,2:34 AM,91996,11.506,FALSE,Product
Frances,Female,11-12-96,6:08 PM,112467,1.433,FALSE,Business Development
Frances,Female,5/16/2014,8:31 AM,35884,17.667,FALSE,Sales
Frank,,11/20/2001,10:18 AM,58563,12.062,TRUE,Marketing
Frank,Male,01-10-81,1:30 PM,71853,8.037,TRUE,Sales
Frank,Male,4/27/2003,12:04 PM,140303,17.07,FALSE,Legal
Frank,Male,11/23/2002,6:10 PM,75147,17.398,FALSE,Product
Frank,Male,03-02-09,9:15 PM,78891,7.927,TRUE,Distribution
Frank,Male,7/27/2013,4:32 PM,91406,5.681,TRUE,Business Development
Fred,,12-02-84,2:03 PM,59937,12.045,TRUE,Human Resources
Fred,Male,2/20/1980,2:25 AM,74129,18.225,FALSE,Product
Fred,Male,2/13/1987,2:15 PM,121723,18.645,TRUE,Product
Fred,Male,03-03-89,2:27 AM,129712,11.058,FALSE,Finance
Gary,Male,1/27/2008,11:40 PM,109831,5.831,FALSE,Sales
Gary,Male,08-12-87,12:04 AM,89661,8.525,FALSE,Finance
Gary,Male,8/18/2011,8:12 AM,49101,11.9,TRUE,Business Development
George,,2/24/1988,11:29 AM,38375,8.999,FALSE,Legal
George,Male,9/27/1995,5:04 PM,36749,19.754,FALSE,Finance
George,Male,06-05-15,5:40 AM,50369,18.9,TRUE,Sales
George,Male,6/21/2013,5:47 PM,98874,4.479,TRUE,Marketing
Gerald,,3/17/1995,12:50 AM,137126,15.602,TRUE,Sales
Gerald,Male,4/16/2001,10:09 PM,121604,1.923,TRUE,Sales
Gerald,,01-08-92,3:50 PM,133366,12.292,FALSE,Legal
Gerald,Male,5/28/2010,12:26 PM,96511,9.331,FALSE,Human Resources
Gerald,Male,3/29/2003,10:37 AM,96329,2.469,TRUE,Engineering
Gerald,,4/15/1989,12:44 PM,93712,17.426,TRUE,Distribution
Gloria,Female,6/29/2007,5:34 AM,134148,8.833,TRUE,Legal
Gloria,Female,3/27/2007,1:44 AM,90730,2.491,FALSE,Distribution
Gloria,,7/19/1983,1:57 AM,140885,1.113,FALSE,Human Resources
Gloria,Female,9/19/1989,7:40 PM,131045,11.312,TRUE,Product
Gloria,Female,04-12-92,8:26 PM,66224,15.979,TRUE,Legal
Gloria,Female,8/19/2004,10:31 AM,46602,1.027,TRUE,Business Development
Gloria,Female,10/24/1987,4:43 AM,39833,9.631,FALSE,Engineering
Gloria,Female,12-08-14,5:08 AM,136709,10.331,TRUE,Finance
Gregory,,6/15/1992,5:08 AM,98865,10.628,TRUE,Finance
Gregory,Male,1/29/2000,6:01 AM,109564,3.845,FALSE,Legal
Gregory,,07-09-11,11:31 PM,137661,4.805,TRUE,Sales
Gregory,Male,5/15/2009,3:52 PM,142208,11.204,TRUE,Engineering
Gregory,Male,6/18/1984,3:46 AM,82726,16.304,TRUE,Marketing
Gregory,Male,11/15/1999,5:22 PM,128031,15.857,TRUE,Business Development
Harold,Male,01-02-85,9:40 PM,77544,12.447,FALSE,Business Development
Harold,Male,2/20/1990,11:00 PM,66775,2.158,TRUE,Legal
Harold,Male,10/18/2010,8:45 PM,65673,1.187,TRUE,Legal
Harold,,02-04-04,11:02 AM,79459,7.776,TRUE,Business Development
Harold,Male,5/15/2007,6:37 PM,118753,8.162,FALSE,Sales
Harold,Male,4/16/2010,5:13 AM,147417,11.626,TRUE,Business Development
Harold,Male,6/23/2012,12:40 PM,140444,3.771,FALSE,Distribution
Harry,Male,8/26/1981,3:16 PM,130620,7.03,FALSE,Legal
Harry,Male,10-01-15,7:47 PM,64579,15.266,TRUE,Sales
Harry,,12-05-96,5:45 AM,46240,6.976,TRUE,Engineering
Harry,Male,1/27/1985,8:18 PM,65482,18.089,FALSE,
Harry,Male,11/19/1982,11:25 AM,59277,10.2,FALSE,Finance
Harry,Male,9/23/2015,1:36 AM,129148,15.193,TRUE,Engineering
Harry,Male,02-10-85,7:46 PM,63046,10.411,FALSE,Finance
Harry,Male,8/30/2011,6:31 PM,67656,16.455,TRUE,Client Services
Heather,Female,07-11-98,2:17 PM,43026,14.166,FALSE,Client Services
Heather,Female,7/29/1983,10:48 AM,47605,14.955,TRUE,Human Resources
Helen,Female,11/29/2001,2:30 AM,73789,14.841,TRUE,Product
Helen,Female,10/31/1997,2:43 AM,52875,4.188,FALSE,Legal
Helen,,12-02-93,1:42 PM,45724,1.022,FALSE,Product
Henry,Male,6/26/1996,1:44 AM,64715,15.107,TRUE,Human Resources
Henry,Male,4/24/1995,4:18 AM,43542,19.687,FALSE,Legal
Henry,Male,02-06-95,8:34 AM,89258,15.585,TRUE,Human Resources
Henry,Male,05-12-86,2:04 AM,59943,1.432,FALSE,Finance
Henry,Male,2/23/2007,3:24 AM,49665,18.338,FALSE,Business Development
Henry,,11/23/2014,6:09 AM,132483,16.655,FALSE,Distribution
Howard,Male,4/27/1992,1:10 AM,105062,1.563,FALSE,Human Resources
Howard,Male,10-05-82,7:22 AM,97490,5.46,TRUE,Marketing
Howard,Male,04-09-12,6:36 AM,37984,2.021,FALSE,Distribution
Irene,Female,05-07-97,9:32 AM,66851,11.279,FALSE,Engineering
Irene,,7/14/2015,4:31 PM,100863,4.382,TRUE,Finance
Irene,Female,1/29/1992,11:36 AM,133772,19.02,TRUE,Sales
Irene,Female,1/30/2004,8:25 PM,131038,8.996,FALSE,Distribution
Irene,Female,02-04-82,5:26 PM,40837,12.182,TRUE,Client Services
Irene,Female,03-03-82,8:26 AM,56526,5.81,TRUE,Finance
Irene,Female,6/23/2005,11:03 AM,89780,8.999,TRUE,Sales
Irene,Female,11/29/2006,2:14 PM,125018,9.601,TRUE,Legal
Irene,,2/28/1991,10:23 PM,135369,4.38,FALSE,Business Development
Jack,Male,01-12-97,5:51 AM,103902,12.159,FALSE,Client Services
Jack,Male,12/24/1980,10:58 PM,106995,15.723,FALSE,Product
Jack,Male,5/30/2012,3:17 AM,70367,18.266,TRUE,Legal
Jacqueline,Female,11/25/1981,3:01 PM,145988,18.243,FALSE,Marketing
Jacqueline,Female,02-11-07,2:01 AM,66604,14.609,FALSE,Legal
Jacqueline,Female,9/20/1994,6:07 PM,62371,15.77,TRUE,Client Services
Jacqueline,Female,7/27/2008,12:08 PM,125298,3.019,TRUE,Legal
Jacqueline,Female,5/25/2003,7:13 PM,125418,8.064,FALSE,Distribution
James,,1/26/2005,11:00 PM,128771,8.309,FALSE,
James,,11/22/1983,10:52 PM,68501,14.316,FALSE,Marketing
James,Male,07-11-15,8:52 PM,72257,13.023,FALSE,Engineering
James,Male,11/22/1998,3:48 AM,74086,5.778,TRUE,Human Resources
James,Male,12-05-01,7:06 AM,67789,17.105,TRUE,Legal
